pitchid,pitcherid,yearid,height,ballSpeed,curve_X,curve_Z,releasePoint_X,releasePoint_Y,releasePoint_Z,ballSpin,type
43,5,1,72,84.82936802,0.608765164,3.098981955,-0.77809331,6.30938803,6.078761322,1292.187345,7
44,2,1,80,88.60324551,-1.780279737,7.329096892,-1.604385433,6.430612533,6.052802969,1507.510462,4
45,5,1,72,90.34452247,-2.734718118,8.586410788,-1.44833873,6.19312121,5.903843698,1960.861049,10
46,4,1,72,90.83567799,-4.144195761,11.01454336,-1.789725812,6.510677573,5.764278663,2160.653144,10
47,5,1,72,91.10848227,-2.750319907,11.48071756,-1.236561806,6.321276578,5.891369011,1977.253921,10
48,4,1,72,80.15815082,1.778836665,-1.32794171,-2.129188822,6.347156589,5.810046241,2616.356899,2
49,5,1,72,90.52957635,-6.271760929,7.646878006,-1.677622007,6.068732205,5.710741932,2105.237115,9
50,5,1,72,81.8339973,-1.592096609,1.998261938,-1.013256971,6.116791755,6.003618596,779.2793778,7
51,4,1,72,86.35021113,-7.403553501,-0.248827969,-2.087658502,6.134968219,5.764292253,1367.853192,4
52,5,1,72,90.07205139,-1.460098825,10.65338622,-1.015645311,5.98102314,5.968676865,1955.892315,10
53,4,1,72,93.92055983,-5.958184392,11.1838269,-1.852512173,6.276261645,6.121972535,2410.486446,10
54,5,1,72,89.94996644,-6.381419118,4.896292017,-1.761884809,6.50709579,5.671391008,1808.565234,9
55,5,1,72,84.15155469,0.422409268,-0.052208468,-0.89867078,5.856077847,6.120205016,825.233094,7
56,5,1,72,80.93501752,-5.229202638,3.53308662,-1.212182148,6.255088745,5.687133646,1075.633762,4
57,4,1,72,92.55984144,-2.81953931,7.280637093,-1.899031075,5.874666792,5.687041099,2358.616559,10
58,4,1,72,93.07286939,-6.548895117,7.142107829,-2.110080717,6.334155299,5.908506325,2254.644627,9
59,5,1,72,82.28398601,-1.325030814,2.919319339,-1.054591006,6.541196325,5.974532214,1912.361744,7
60,5,1,72,84.95203563,-2.400454434,3.356125791,-0.755674598,6.003687108,6.160277629,711.8232459,7
61,5,1,72,91.08772498,-8.074634216,5.330256688,-1.391052104,6.663659251,5.76438194,2009.82348,9
62,2,1,80,78.72738977,4.768543947,-6.551907789,-2.100432205,5.853029334,5.903765646,2591.578192,2
63,1,1,76,76.36516755,7.770758054,-7.812296747,-1.589691158,6.222285704,6.574543611,3049.790095,2
64,5,1,72,84.67191944,-4.445341018,2.466625127,-0.934026114,6.646012324,5.998200722,960.1034185,7
65,5,1,72,90.95110473,-1.668539614,13.35652847,-1.124523683,5.968310538,5.954579338,1981.508256,10
66,5,1,72,90.48916561,-2.115675947,10.64685779,-1.231523009,5.908782647,6.006215354,2047.937374,10
67,2,1,80,82.71627999,6.953454982,-4.642442365,-2.30675007,6.113234816,5.841033099,2777.703641,2
68,5,1,72,90.17316525,-7.314605978,9.150105439,-1.211026558,5.906348653,5.745706532,1930.300704,9
69,2,1,80,93.17224778,-7.758175378,5.508630929,-2.307257167,6.104189299,5.701028375,2011.027068,9
70,2,1,80,92.73135763,-5.130983896,11.41634059,-2.222208036,6.256083827,6.016422377,2429.18871,10
71,5,1,72,77.28534392,6.644455149,-4.546076332,-1.090995978,6.183406267,5.800268776,2574.346212,3
72,4,1,72,88.0400703,2.126814125,3.418479992,-2.004931287,6.319947863,5.761063452,2356.7288,8
73,5,1,72,88.74096662,-2.045063394,9.975912653,-1.80811169,6.217149277,5.980450821,1997.788059,10
74,5,1,72,89.993931,-8.549124795,7.540531843,-1.759021769,6.122774879,5.650337505,1843.908806,9
75,4,1,72,92.13971683,-2.514159889,8.977582881,-1.970596208,5.739243156,5.838906676,2184.805601,10
76,1,1,76,86.50752793,-8.121801603,5.173226498,-1.76491219,6.104556948,6.588300739,2054.995929,10
77,1,1,76,89.37413787,-2.98575449,6.698329989,-2.161623724,6.282398466,6.210374247,2204.592014,10
78,4,1,72,92.97486361,-8.86222101,7.188082497,-2.130164708,5.750019118,5.802426408,2329.415938,9
79,1,1,76,86.32766406,-5.965881331,1.569921987,-2.330634826,5.940302665,6.204578684,2230.208863,9
80,5,1,72,80.10646293,-7.742103781,5.122961122,-1.345435667,6.500190089,5.821177763,1179.091808,4
81,2,1,80,94.39266261,-1.706943767,8.843528437,-2.538794043,6.224376724,5.795643288,2189.630064,10
82,4,1,72,82.48137005,3.382995233,2.329678623,-1.547392388,6.312850176,6.070068626,2361.220578,2
83,2,1,80,91.5964385,-8.616160147,6.81852097,-2.409508396,6.053265325,5.722586446,2024.556379,9
84,5,1,72,90.69587869,-4.216328726,9.924686353,-1.087514023,6.246921156,6.021856751,2116.450599,10
85,5,1,72,91.30498425,-0.716370813,9.807590978,-0.74688965,6.125622797,6.028015345,1958.855456,10
86,4,1,72,80.88623551,3.256036505,-2.99085661,-2.021092852,6.438053635,5.83444086,2661.443441,2
87,4,1,72,92.37344843,-8.69382957,4.926745299,-2.095399105,6.469106239,5.753802132,2165.65324,9
88,4,1,72,94.01748008,-7.790075561,9.627166899,-1.945075302,6.167611297,6.040243707,2419.357083,10
89,2,1,80,78.07566211,8.531549155,-9.338839169,-1.91169658,6.401051414,6.107264263,2848.251845,2
90,2,1,80,86.97175338,-4.646250122,3.584914333,-2.517704115,6.048329422,5.618077723,1468.805592,4
91,5,1,72,81.66331401,-4.906973202,5.511948189,-1.81130431,6.292194686,5.711527532,1274.321317,4
92,5,1,72,89.86870758,-5.461754535,5.841449706,-1.140978029,6.131986762,5.803803866,1835.286026,9
93,2,1,80,90.19613822,-3.77606503,8.502655738,-2.328218184,6.382721124,5.611199441,2133.72468,10
94,5,1,72,81.35100957,-7.616373161,2.811725999,-1.305858605,6.191763466,5.661151295,1162.567489,4
95,5,1,72,90.89318173,-3.505631846,8.102790848,-1.417611712,6.518098491,6.00452277,1892.134012,10
96,4,1,72,92.74638496,-4.425523344,11.21519611,-1.866724741,6.183856723,6.01060102,2398.629085,10
97,5,1,72,89.8663342,-7.828695185,5.630503709,-1.499146762,6.410301569,5.675492168,2035.630144,9
98,5,1,72,89.66602046,-7.19646881,7.213245487,-1.717172155,6.347259899,5.973429723,1770.124261,9
99,2,1,80,92.07351557,1.260840225,6.243965128,-2.097188443,5.838795414,5.750047216,1993.119765,10
100,2,1,80,91.80906787,-2.578100869,10.16016528,-2.140803587,6.05735961,5.707947384,2125.669527,10
101,5,1,72,89.98332201,-11.27214244,4.50280459,-1.753080301,5.900802609,5.542494919,1806.006949,9
102,4,1,72,92.18879687,-3.544477063,10.79036207,-1.755055238,6.53500321,5.989024285,2267.117048,10
103,5,1,72,92.03764511,-3.001193158,8.578365042,-1.430947924,6.197539138,5.911319548,2112.716299,10
104,4,1,72,94.10768869,-4.933088861,10.70376597,-2.013156414,6.137227262,6.145621502,2390.306677,10
105,5,1,72,90.3823884,-8.155199193,9.029435132,-1.517180066,6.35705926,5.876859102,1888.095493,9
106,5,1,72,90.29428096,-6.261946175,6.822677181,-1.483280041,6.088212581,5.92119025,1772.159287,9
107,2,1,80,93.21577656,-8.454394745,9.990864761,-2.55576785,6.449457975,5.72793785,2232.573657,9
108,5,1,72,90.63133698,-10.89629696,5.320014433,-1.851510553,6.142100087,5.531870256,2050.57243,9
109,5,1,72,89.75055086,-4.055199847,9.638477588,-1.201492979,6.151283568,5.912296981,1857.815681,10
110,5,1,72,83.6538623,-0.43231389,0.188174675,-0.553112431,6.243595796,6.046804125,402.2527487,7
111,2,1,80,94.24608692,-5.811779866,8.229956558,-2.287970912,6.214868071,5.633925978,2192.382147,9
112,4,1,72,88.22743181,4.947437309,3.320468394,-2.138279745,6.339690022,5.775333907,2418.658577,8
113,4,1,72,91.84606204,-6.729504586,4.701425624,-1.920446445,5.820042434,5.665758148,2198.414702,9
114,5,1,72,82.65690287,-0.596621145,7.580612053,-1.375757996,6.101824059,5.817447872,1191.752336,4
115,5,1,72,88.72324539,-2.138251257,11.5066787,-1.405615799,5.796295454,5.784524597,2026.734478,10
116,5,1,72,72.84351186,4.664479403,-9.585661235,-1.046742801,6.360666817,5.998907155,2302.385562,2
117,5,1,72,90.89417292,-3.177918509,10.4450438,-1.038758222,6.216729694,5.952020148,1923.229905,10
118,5,1,72,83.50136393,-5.498176039,3.611291541,-1.392162675,6.194837923,5.645014578,1229.363555,4
119,5,1,72,89.40000329,-8.245990757,7.005513467,-1.650613114,6.178238293,5.821082124,1841.519986,9
120,4,1,72,93.92703417,-6.886153298,10.5420584,-1.993764247,6.317011533,6.161201084,2321.405893,10
121,5,1,72,89.70652972,-5.034478924,4.98675359,-1.346699943,6.617199671,5.717618966,1801.403973,9
122,2,1,80,90.68758014,-1.307876466,6.675485762,-2.664272409,6.471774927,5.550859175,2154.788306,10
123,2,1,80,96.7437993,-3.298476866,8.744504778,-2.059190449,6.086367716,5.754403381,2315.984862,9
124,4,1,72,92.28791216,-4.952289727,3.937409207,-1.804316405,6.348395531,5.801337397,2126.887904,9
125,5,1,72,89.21934296,-2.430310061,10.73597088,-1.102346214,6.315617221,6.08728846,1912.769908,10
126,4,1,72,88.35828128,-7.964068805,5.733138791,-1.92320994,6.340384148,5.798900523,1514.494091,4
127,5,1,72,89.72983715,-9.381437009,6.90380403,-1.790790808,6.093014651,5.710360846,1969.602299,9
128,2,1,80,95.08374956,-0.838534577,9.544352106,-2.165942886,6.241727739,6.099866662,2338.102235,10
129,5,1,72,90.20507326,-0.984205257,9.815883594,-0.640103951,6.023472791,6.116481501,1827.07788,10
130,5,1,72,90.66446153,-3.753079978,9.214878886,-1.429062318,6.76875004,5.915568116,2064.057232,10
131,2,1,80,95.61155995,-0.509738803,10.65738828,-2.479587382,6.07221579,6.055183804,2250.982929,10
132,5,1,72,89.30388299,-7.841120097,8.255040215,-1.495056369,6.100599074,5.727654964,1931.509486,9
133,5,1,72,91.22836996,-2.280111664,9.241382464,-0.720743006,6.500910793,6.030387673,1904.522426,10
134,5,1,72,84.74226101,-6.932518738,0.958001966,-0.592707672,6.300571754,5.889063836,789.1772322,7
135,5,1,72,90.04483299,-5.921667053,6.793150201,-1.455725747,6.302848132,6.069549644,1869.702673,9
136,4,1,72,93.67964617,-6.600373431,9.115236791,-1.784479613,6.02912031,6.158665901,2438.985908,10
137,2,1,80,92.9060492,-2.190758243,7.808944146,-2.216594393,6.041153047,5.775476104,2287.77263,10
138,5,1,72,83.03180907,-6.858022727,5.359766689,-1.324616698,6.289401726,5.896596704,1103.860196,7
139,2,1,80,92.38331702,-4.084509253,10.37826602,-2.772339095,6.36970827,5.491291362,2220.167183,10
140,5,1,72,90.56142201,-0.663441038,6.208248269,-1.225930049,5.870753659,5.982883271,1985.738652,9
141,2,1,80,93.68134312,-2.3947797,7.181411156,-2.14624879,6.295178271,5.733552515,2244.539262,10
142,5,1,72,91.23345321,-1.299899286,9.030367574,-1.290243666,6.387002219,5.870437177,2089.637427,10
143,2,1,80,93.60390493,-6.716820464,8.379134931,-2.391705649,6.042574337,5.669732432,2365.026884,9
144,2,1,80,84.74086079,-3.131106136,3.311832941,-2.584164229,6.448858558,5.585276632,1488.919888,4
145,4,1,72,91.74459733,-8.727885009,2.041076355,-2.144805483,6.206709951,5.724682592,2117.097352,9
146,5,1,72,81.47123271,-7.744194987,2.157192826,-1.744247847,6.105717048,5.498778187,1233.140749,4
147,5,1,72,80.86185141,-5.00949152,6.470333365,-1.45243005,6.385963585,5.886320416,1163.746622,4
148,4,1,72,92.54120644,-2.783259936,10.34227516,-1.921268817,6.07718688,5.733517723,2180.149817,10
149,5,1,72,91.4835756,-7.310154891,5.88007281,-1.119343658,6.061266505,5.938167104,1715.047019,9
150,2,1,80,85.37549531,-7.203035019,1.877447344,-2.302791992,6.051035938,5.769044992,1601.680253,4
151,5,1,72,70.83259261,8.452356727,-10.88573264,-1.30523501,6.55344718,5.857610804,2226.864403,2
152,5,1,72,91.39761038,-3.045217066,10.0882897,-1.021642543,6.391303416,5.920358144,2051.908073,10
153,4,1,72,85.91160527,2.439720737,2.704878885,-1.979870842,6.417824713,5.8024801,2466.843535,8
154,2,1,80,95.99786827,-0.126446296,8.975874867,-1.826572515,6.186494013,5.948105025,2206.428884,10
155,4,1,72,90.46571512,1.483764807,5.087323899,-1.708220974,5.843297719,5.85505094,2552.579189,8
156,5,1,72,83.88388419,-3.908259293,-0.78465719,-0.989936766,6.052389053,5.946568684,985.9039331,7
157,2,1,80,94.39348302,-4.648215563,5.559836217,-2.486381894,6.207140926,5.668764747,2045.624788,9
158,2,1,80,93.1839759,-2.409992792,9.138035727,-2.408374203,6.168290011,5.681051107,2235.334824,10
159,5,1,72,81.83553139,-4.597153154,3.249328606,-1.206329096,6.089089678,5.862000296,1131.280863,4
160,5,1,72,88.75223355,-6.579107966,7.471817842,-1.487461119,5.985167726,5.804795429,1753.236938,9
161,4,1,72,91.97535722,-2.860185979,7.128898332,-2.166545627,6.101446264,5.751680811,2218.876154,10
162,2,1,80,92.90653888,-4.902223248,6.836827535,-2.05717668,6.645092257,5.822206862,2039.025952,9
163,5,1,72,88.83216355,-2.452339831,10.41713063,-1.20717163,6.141945743,5.927063666,2014.539918,10
164,2,1,80,86.68350005,-5.513598393,1.742853537,-2.460174389,6.177221877,5.64580063,1625.669578,4
165,5,1,72,82.58252924,-4.893832317,6.209296567,-1.585284804,6.227486691,5.70392452,1163.847379,4
166,4,1,72,79.53913189,4.992375794,-1.163654515,-1.959827465,6.395653909,5.802897102,2588.689423,2
167,5,1,72,88.16535683,-1.971394429,9.189973758,-0.96108039,6.030034014,5.917561253,1836.316638,10
168,5,1,72,90.17657641,-4.429557608,9.198339922,-1.263474341,6.559167376,5.762533383,2065.365034,10
169,2,1,80,90.02403519,-11.7199791,1.104076383,-2.411875931,6.201834434,5.721010432,1544.774078,4
170,4,1,72,93.836887,-7.102347002,7.301367884,-1.967928894,6.170901836,5.796381149,2298.540227,9
171,4,1,72,93.2578752,-6.572745869,12.71877144,-2.065062725,5.953727748,6.175137499,2471.223404,10
172,2,1,80,96.29920069,-0.777900717,11.49128863,-2.265068612,6.05824075,5.936094215,2375.186055,10
173,5,1,72,91.69638753,-6.277636134,9.189834151,-1.601485865,6.185991656,5.86359386,1903.224444,9
174,4,1,72,92.9276784,-4.350458193,11.15028977,-1.94515155,6.11268531,6.086036613,2255.476281,10
175,1,1,76,80.73487078,-8.345443164,1.855107973,-1.751245274,6.154736957,6.627903382,1725.985099,4
176,2,1,80,81.97282305,3.910011559,-0.668023808,-1.574477914,6.094511555,6.272321864,2540.572316,2
177,2,1,80,81.7272391,4.648386258,-3.98102992,-1.78644346,6.351606614,6.149747345,2519.263626,2
178,2,1,80,80.26074962,3.805584231,-8.006464333,-2.212452005,5.720972862,5.887129321,2572.671307,2
179,5,1,72,90.03837785,-5.795016468,9.706051914,-0.833097919,6.300169813,6.035673617,2018.307263,10
180,2,1,80,95.43423646,-0.525612896,7.178222836,-2.324016693,6.200180313,5.868940843,2310.411894,10
181,4,1,72,82.29380575,3.901789797,-0.950426462,-1.728764001,6.138978821,5.935698065,2810.63663,2
182,4,1,72,94.49990279,-3.687275309,10.277477,-1.826786166,6.341523148,5.868954576,2387.567699,10
183,5,1,72,83.53517396,-5.926643314,2.564775936,-1.051566635,6.073664339,6.01440908,473.9486983,7
184,5,1,72,82.31020855,-2.724323566,1.041705786,-1.897590519,6.184006921,5.55357731,1176.042613,4
185,4,1,72,84.40203023,4.814308015,0.285289669,-1.87639589,6.767639155,5.816742162,2424.091021,8
186,4,1,72,91.23468059,-5.426766081,8.618448336,-2.047026582,6.35007611,5.736469905,2185.265821,10
187,5,1,72,83.38307848,3.378976483,2.948848772,-1.53442442,6.450878512,5.988389494,2014.549087,3
188,2,1,80,81.6082714,1.469489629,-6.171036921,-2.623514338,6.056666342,5.867527736,2583.555329,2
189,5,1,72,91.73206284,-2.408153127,10.71871973,-0.766518919,6.345002638,6.118490039,1998.621769,10
190,5,1,72,81.86260317,1.360959883,-2.166714903,-1.638328809,6.209531407,5.524746327,1635.949816,3
191,5,1,72,84.69410586,-2.290708804,3.823148608,-1.365988194,5.948920625,5.777709964,1236.413577,4
192,4,1,72,80.52637417,2.154629832,-2.731995072,-2.010662766,6.096937066,5.986747605,2615.531796,2
193,4,1,72,88.97243911,1.897134715,7.350818355,-2.161609282,6.228858575,5.901323151,2491.63308,8
194,5,1,72,92.22379737,-3.009472329,9.117519593,-0.869010422,6.649957562,5.958184832,2047.106667,10
195,2,1,80,75.96980368,6.662130828,-10.44426742,-2.969502337,6.750391405,5.744838706,2761.095822,2
196,5,1,72,84.30707771,-0.840519255,-1.477864076,-1.019161673,5.988577884,5.819336999,774.2342224,7
197,5,1,72,83.79479654,-1.343202453,2.593653037,-1.456177704,6.008548043,5.998062603,711.4713124,7
198,5,1,72,89.99893029,-3.051083835,8.044083767,-1.081166914,5.846924918,5.966260217,2005.199673,10
199,4,1,72,92.82816121,-3.670064041,9.914740411,-1.782202105,6.326735304,5.809209845,2314.469122,10
200,2,1,80,77.27088318,4.195545297,-10.999693,-2.464598299,6.350212951,5.931901209,2463.184629,2
201,4,1,72,89.33764831,1.34917451,5.320684439,-1.770642396,6.382025402,5.892179517,2392.438683,8
202,4,1,72,92.27236552,-8.161573691,6.070174799,-2.004988118,6.215762325,5.680567775,2299.180121,9
203,5,1,72,89.93540253,-2.657531189,8.889936832,-1.663979538,6.488755346,5.85510185,2039.144681,10
204,5,1,72,93.0671145,-1.810726828,8.549068463,-1.318956793,6.197290517,6.025024397,2014.761897,10
205,5,1,72,91.03992699,-3.484115419,10.04386657,-0.530165716,5.765088283,5.992082605,1918.358664,10
206,4,1,72,81.92593278,3.450273469,-4.774820805,-1.935993228,6.194934582,5.859037006,2691.914998,2
207,5,1,72,88.35211345,-1.988755406,8.242125245,-1.404662529,6.141105265,5.893177766,2049.599405,10
208,4,1,72,94.31363672,-6.771165932,9.692357062,-1.849011934,6.535950217,5.981156574,2426.870537,10
209,5,1,72,90.88088127,-4.664361262,7.843182282,-1.422365865,5.949338958,5.997125335,1862.874629,9
210,2,1,80,80.2449235,4.007542723,-5.153822426,-2.347812633,5.881190081,5.786202552,2556.006665,2
211,5,1,72,83.76395586,-1.036766706,1.912700224,-0.698503541,6.647273755,6.104618026,886.4179397,7
212,4,1,72,92.34509537,-3.828913303,10.39240334,-2.237425688,6.233669563,5.984078071,2509.268884,10
213,2,1,80,94.05825061,-2.424737642,9.456677249,-2.194238468,6.160502937,6.113715786,2259.452556,10
214,2,1,80,79.75856291,3.279019773,-5.472060755,-2.242507866,6.62937622,5.907482437,2691.825833,2
215,5,1,72,90.01463241,-7.280535486,6.718387206,-1.459820881,5.902944685,5.490290224,1904.179221,9
216,2,1,80,94.72968228,-4.660661915,6.921592932,-2.279083038,6.457406982,5.708775445,2148.222035,9
217,5,1,72,90.55292616,-3.749231808,8.417820566,-1.005820735,6.261090172,5.960422088,2068.663912,10
218,4,1,72,91.42429231,-1.876128591,10.53470811,-1.871907236,6.107445769,6.091083363,2439.841432,10
219,2,1,80,93.15378644,-6.13949353,8.498191177,-2.204251631,5.953434806,5.715189341,2276.345692,9
220,5,1,72,89.59724824,-3.352901932,10.84776217,-1.143990979,6.13846837,5.978221012,1861.572635,10
221,1,1,76,87.65787217,-9.363874604,3.148768424,-2.302690879,6.058068244,6.066108386,2021.947234,9
222,4,1,72,81.00125924,5.960964779,0.476256696,-1.890512811,6.194388706,5.746715553,2670.808482,2
223,5,1,72,82.44666786,-6.282632845,3.97977886,-1.160129471,6.275357204,5.945543032,1129.669217,4
224,2,1,80,78.55534617,3.801179923,-7.280276117,-2.472535549,6.32446723,5.549986274,2386.539383,2
225,4,1,72,87.64990149,1.533017406,2.555054349,-1.928281007,6.450315478,5.68231474,2570.218231,8
226,2,1,80,96.34387608,-7.557407572,7.92737009,-2.558590617,6.697732833,5.741711815,2339.053967,9
227,5,1,72,90.44453942,-7.365447378,9.408295623,-1.678002476,6.32448806,5.737820717,2056.680825,9
228,5,1,72,90.56842374,-7.156416568,9.29998442,-1.424823608,6.168209718,5.878688836,1962.185051,9
229,5,1,72,89.52899798,-7.798546565,6.741083053,-1.72908331,6.555181701,5.770069159,1920.623054,9
230,2,1,80,87.59675705,-4.635071628,3.413161503,-2.306205845,6.654680329,6.002599262,1594.210364,4
231,2,1,80,79.21998096,3.99103865,-5.540994845,-2.342706005,6.435803361,5.853633224,2434.43622,2
232,5,1,72,90.08802253,-8.460509184,8.350319734,-1.588599488,6.079505887,5.833350872,1945.199677,9
233,5,1,72,73.53457787,2.550196488,-7.401607028,-1.143179257,5.976151807,5.957285994,2257.221848,2
234,5,1,72,88.569111,0.621088937,4.29475204,-1.310076169,6.346733618,5.59585972,2172.443166,8
235,4,1,72,92.57194149,-5.287931004,8.199020436,-1.500594142,6.342446302,5.960422342,2201.06419,10
236,2,1,80,96.25043647,0.803581466,8.662367383,-2.404749074,6.18158131,6.095824056,2360.015314,10
237,2,1,80,94.9422953,-4.216460619,7.849674917,-1.914550717,6.156952036,5.780967568,2303.125792,9
238,5,1,72,89.47413071,-7.979644473,7.748425065,-1.804612422,6.324083425,5.776033594,1964.238376,9
239,5,1,72,90.30022564,-1.376658522,9.061864807,-1.314665185,6.644406249,6.030151529,1834.538114,10
240,4,1,72,88.11070547,-8.059257024,5.142106239,-2.129041419,6.534937623,5.718531037,1554.053888,4
241,5,1,72,90.15357792,-2.832523654,10.09144376,-1.104645595,6.349683099,6.028991401,2051.8479,10
242,5,1,72,72.22916489,6.727676584,-8.580791565,-1.450167835,6.260979313,5.954270886,2159.301904,2
243,4,1,72,93.01663027,-5.60406471,9.601008888,-2.081890073,6.273865084,5.899334808,2423.51941,10
244,5,1,72,88.42716031,2.79865215,3.211977216,-1.508082221,6.491527269,5.615068441,2052.92156,8
245,5,1,72,90.16523121,-4.832517501,8.325540305,-1.544244692,6.162438902,5.837090955,1977.990655,9
246,5,1,72,83.3598086,-2.607520249,6.30913545,-1.334581917,6.524786288,6.03398677,1220.443378,4
247,2,1,80,92.67704792,-4.423300746,9.884138358,-2.683305954,6.104951253,5.66646905,2254.935643,10
248,2,1,80,94.94602938,-2.117152784,10.35187421,-2.167863798,6.142432424,5.711964647,2309.729761,10
249,1,1,76,80.39722993,-8.408540294,-1.205216094,-1.936461149,5.800724594,6.329302164,1365.046829,4
250,4,1,72,94.34633209,-9.385242366,9.873122358,-2.329041379,6.235885437,5.951919938,2409.888522,9
251,2,1,80,96.34979628,0.830688253,11.40440583,-2.363108532,6.175275282,6.152150354,2199.582414,10
252,2,1,80,91.71666515,-3.833075654,9.370755356,-2.739679432,5.915774894,5.287674666,2379.423965,10
253,1,1,76,80.60187383,-4.952232181,3.656159129,-1.576848259,6.325064359,6.386573047,1691.909282,4
254,5,1,72,72.49568113,2.287653767,-11.82782388,-1.108243276,5.772684579,5.774356883,2290.743376,2
255,4,1,72,92.92263287,-4.790341389,8.759278192,-2.049325462,6.137432391,6.071398844,2465.5983,10
256,4,1,72,80.9877597,5.428436851,-1.649410511,-1.894632096,5.902561418,5.930829384,2506.314679,2
257,5,1,72,83.66071973,-1.406250766,1.474671279,-1.360592431,5.931863073,5.91239539,1032.985688,7
